Company,Rating,No_of_ratings,Review,Size,RAM,Price,MRP
Lenovo,4.2,974,75,36,8,415,744
ASUS,4.1,57,14,36,16,1038,1429
acer,4.253596615,2841,241,36,8,965,939
acer,4.253596615,2841,241,36,16,1038,1173
Lenovo,4.2,31,3,40,16,663,1034
DELL,4.4,38,6,40,8,892,1009
acer,4.3,346,41,40,8,855,1087
HP,4.253596615,2841,241,40,8,489,660
Lenovo,4.3,252,29,40,8,745,1145
DELL,4.253596615,2841,241,40,8,734,882
Infinix,4.2,54,17,40,16,696,977
acer,4.253596615,2841,241,40,8,550,599
Lenovo,4.3,115,6,40,8,482,726
Lenovo,4.3,779,76,40,8,476,760
DELL,4.3,232,35,36,8,770,833
HP,4.7,15,0,41,16,1222,1438
HP,4.2,253,20,36,16,611,724
ASUS,4.253596615,2841,241,36,16,831,1112
ASUS,4.3,222,28,36,8,525,696
acer,4.253596615,2841,241,40,8,1038,1466
Lenovo,4.3,2841,241,101,8,647,939
MSI,4.253596615,2841,241,41,16,1417,1784
DELL,4,99,10,40,8,519,711
HP,4.253596615,2841,241,40,16,843,1009
Lenovo,4.3,2841,241,40,8,684,1025
HP,4.6,5,0,40,8,391,454
HP,4.2,287,17,40,8,634,800
Infinix,4.2,261,50,40,8,415,611
Lenovo,4.2,974,75,36,8,415,744
ASUS,4.2,50,4,34,8,881,939
ASUS,4.253596615,2841,241,40,16,904,1405
realme,4.4,12879,1904,36,8,574,672
Lenovo,3,4,0,40,8,654,990
MSI,4.253596615,2841,241,41,32,2321,939
Lenovo,4.3,252,29,40,8,745,1145
acer,4.5,1576,207,40,8,1270,1833
Lenovo,4.3,115,6,40,8,482,726
ASUS,4.3,417,48,40,8,427,611
Infinix,4.1,1134,189,36,4,256,366
DELL,4.1,35,6,36,8,902,1131
HP,4.2,253,20,36,16,611,724
ASUS,4.253596615,2841,241,41,32,3665,4398
DELL,4.2,444,56,97,8,465,583
Avita,3.8,733,97,36,4,214,366
Lenovo,4.3,2841,241,101,8,647,939
acer,4.4,339,36,40,8,733,977
HP,4.253596615,2841,241,40,8,1253,939
HP,4.3,2099,266,36,8,486,590
Lenovo,4.3,2841,241,40,8,684,1025
Lenovo,4.253596615,2841,241,36,16,1196,939
MSI,4.4,55,9,40,8,1051,1307
DELL,4.253596615,2841,241,40,8,561,711
Lenovo,4.2,974,75,36,8,415,744
Lenovo,3.9,62,10,36,8,623,831
Lenovo,4,15,5,40,8,904,1281
ASUS,4.253596615,2841,241,40,16,1414,2199
Lenovo,3,4,0,40,8,654,990
acer,4.4,61,7,40,8,684,794
Lenovo,4.6,52,4,41,16,1729,2735
MSI,4.253596615,2841,241,41,16,2199,939
Lenovo,4.3,115,6,40,8,482,726
Lenovo,4.1,45,10,40,8,720,1145
Lenovo,4,35,1,40,8,427,666
DELL,3.9,125,13,40,8,602,618
HP,4.2,253,20,36,16,611,724
HP,4.8,9,1,36,16,1148,1395
Nokia,4.4,1509,316,36,8,537,1100
Lenovo,4.5,194,20,40,8,739,1025
Lenovo,4.3,2841,241,101,8,647,939
HP,4.3,203,14,40,4,458,538
MSI,4.2,129,14,40,8,641,965
Infinix,4.2,181,35,40,8,403,550
Lenovo,4.3,2841,241,40,8,684,1025
DELL,4.253596615,2841,241,36,8,733,926
DELL,4.3,4,0,38,8,482,678
Lenovo,4,974,94,36,4,317,495
Lenovo,4.2,974,75,36,8,415,744
DELL,3.9,318,28,40,8,522,691
Lenovo,4.4,32,6,40,8,855,1264
Lenovo,4.253596615,2841,241,34,8,1051,939
Lenovo,3,4,0,40,8,654,990
acer,4.1,85,5,40,8,735,794
DELL,4.4,125,33,40,4,562,564
ASUS,4.6,18,2,34,16,1075,1429
HP,4.2,253,20,36,16,611,724
ASUS,3.7,388,51,40,4,232,281
acer,4.2,27,3,36,8,348,452
Infinix,4.3,3496,417,36,8,440,611
Lenovo,4.3,2841,241,40,8,684,1025
Lenovo,5,4,0,36,8,463,694
DELL,4.253596615,2841,241,34,16,1222,1748
HP,4.4,851,80,40,8,659,806
Lenovo,4.2,974,75,36,8,415,744
acer,4.253596615,2841,241,40,8,977,1185
ASUS,4.253596615,2841,241,40,16,1208,1587
acer,4.253596615,2841,241,40,16,721,831
Lenovo,4.2,31,3,40,16,663,1034
DELL,4.253596615,2841,241,40,32,3726,4284
ASUS,4.4,11,3,34,8,898,1209
ASUS,4.1,306,40,40,16,733,989
Lenovo,4.3,252,29,40,8,745,1145
ASUS,4.253596615,2841,241,40,16,1991,2395
DELL,4.3,336,29,40,8,849,959
realme,4.4,12879,1904,40,8,574,672
Lenovo,4.2,265,21,40,8,672,939
Vaio,3.7,185,36,40,8,647,930
ASUS,5,3,2,41,16,788,1063
Lenovo,4.4,912,128,40,8,930,1344
HP,4.2,253,20,36,16,611,724
DELL,4.2,214,19,40,8,806,926
DELL,4.253596615,2841,241,36,16,707,969
HP,4.253596615,2841,241,34,8,1576,1846
Lenovo,4.3,2841,241,101,8,647,939
DELL,4.1,119,21,34,8,1075,1082
Lenovo,4.5,425,50,40,8,941,1328
MSI,4.253596615,2841,241,40,8,916,1038
Lenovo,4.3,2841,241,40,8,684,1025
Lenovo,4.253596615,2841,241,40,8,1051,1358
Lenovo,4.253596615,2841,241,34,16,2188,2222
acer,4.4,39,3,34,8,989,1222
Lenovo,4.2,974,75,36,8,415,744
Infinix,4.1,508,83,36,16,476,794
ASUS,4.253596615,2841,241,40,8,403,599
DELL,4.2,33,7,89,4,526,707
Lenovo,4.2,31,3,40,16,663,1034
ASUS,4.253596615,2841,241,40,16,912,1405
ASUS,4.253596615,2841,241,40,8,647,770
ASUS,4.253596615,2841,241,36,16,922,1112
Lenovo,4.2,265,21,40,8,672,939
Lenovo,5,1,1,40,4,452,597
acer,4.2,107,14,40,4,342,525
MSI,4.253596615,2841,241,36,16,1466,1649
HP,4.2,253,20,36,16,611,724
acer,4.253596615,2841,241,40,8,421,586
APPLE,4.5,482,50,34,8,1570,1746
ASUS,4.253596615,2841,241,40,32,2553,3407
Lenovo,4.3,2841,241,101,8,647,939
Vaio,3.7,185,36,40,8,647,930
ASUS,4.1,202,18,29,4,275,379
ASUS,4.253596615,2841,241,36,16,1283,1576
Lenovo,4.3,2841,241,40,8,684,1025
DELL,4.253596615,2841,241,34,16,1415,1828
ASUS,4.253596615,2841,241,40,16,1930,2321
DELL,4.2,73,7,36,8,528,740
Lenovo,4.2,974,75,36,8,415,744
DELL,4,261,17,36,4,541,560
HP,4.1,1146,119,40,8,458,526
ASUS,4.253596615,2841,241,40,8,757,867
Lenovo,4.2,31,3,40,16,663,1034
DELL,4.253596615,2841,241,41,8,947,1018
MSI,4.253596615,2841,241,40,32,2627,2730
ASUS,3.7,21,3,36,16,770,1014
Lenovo,4.2,265,21,40,8,672,939
ASUS,4,958,155,40,4,318,379
Infinix,4.2,261,50,40,8,415,611
ASUS,4.253596615,2841,241,36,16,1136,1405
HP,4.2,253,20,36,16,611,724
HP,4.4,215,30,40,8,615,860
LG,4.253596615,2841,241,43,8,1238,1295
acer,4.3,250,29,40,16,928,1307
Lenovo,4.3,2841,241,40,8,684,1025
Infinix,4.1,77,17,40,8,489,672
ASUS,4.1,24,3,36,8,922,1136
ASUS,4.5,868,119,40,8,1014,1319
Lenovo,4.2,974,75,36,8,415,744
ASUS,4.253596615,2841,241,36,16,1186,1429
ASUS,4.253596615,2841,241,41,16,2443,2749
MSI,4.5,4353,595,40,8,684,1161
Lenovo,4.2,31,3,40,16,663,1034
HP,4.253596615,2841,241,34,16,2929,939
MSI,4,3,2,40,16,1661,1918
ASUS,4.5,1482,193,44,16,1051,1319
Lenovo,4.2,265,21,40,8,672,939
HP,4.3,3926,402,40,8,427,563
ASUS,4.253596615,2841,241,40,8,806,928
HP,3.8,6056,689,40,4,244,311
Lenovo,4.253596615,2841,241,36,16,1196,939
Infinix,4.2,261,50,40,8,415,611
ASUS,4.253596615,2841,241,36,8,965,1087
HP,3.8,425,42,36,8,342,450
Lenovo,4.3,115,6,40,8,482,726
ASUS,4.253596615,2841,241,40,8,586,757
HP,4.1,138,11,40,16,768,917
Vaio,3.8,83,14,36,8,721,1035
HP,4.2,253,20,36,16,611,724
acer,4.5,475,70,40,16,1429,1723
ASUS,4.253596615,2841,241,40,8,806,928
MSI,4.253596615,2841,241,40,16,1857,2199
Lenovo,4.3,2841,241,40,8,684,1025
DELL,4,51,8,97,16,1026,1219
ASUS,4.3,671,85,40,16,782,1051
HP,4.253596615,2841,241,36,8,489,588
Lenovo,4.2,974,75,36,8,415,744
MSI,4.5,1197,151,40,8,733,892
MSI,4.5,23,4,36,8,928,1099
HP,4.4,2519,242,40,8,696,929
Lenovo,4.2,31,3,40,16,663,1034
ASUS,4.253596615,2841,241,40,16,2040,2541
acer,3.8,4,0,40,16,1894,1957
HP,3.9,47,4,40,4,484,939
Lenovo,3,4,0,40,8,654,990
HP,4.253596615,2841,241,41,8,1163,1293
HP,4.4,29,3,36,16,941,1045
DELL,4.253596615,2841,241,40,16,1564,1934
HP,4.2,253,20,36,16,611,724
Infinix,4.2,3639,519,36,8,366,489
HP,5,2,1,34,8,1552,1858
DELL,4.3,800,96,40,8,537,606
Lenovo,4.3,2841,241,101,8,647,939
ASUS,4.253596615,2841,241,34,32,2052,2468
Infinix,4.1,1759,274,36,8,586,733
HP,4.8,9,1,36,16,1203,1343
Lenovo,4.3,2841,241,40,8,684,1025
HP,4.5,78,8,40,8,1014,1237
HP,4.253596615,2841,241,36,8,776,971
DELL,4.6,955,183,40,8,953,995
Lenovo,4.2,974,75,36,8,415,744
HP,4.2,332,32,40,8,666,788
ASUS,4.6,10,1,40,8,757,941
Nokia,4,944,211,36,16,501,1014
Lenovo,4.2,31,3,40,16,663,1034
GIGABYTE,4,16,5,40,16,733,1099
DELL,4.253596615,2841,241,41,16,873,1225
HP,4.5,674,139,40,8,788,855
Lenovo,4.3,252,29,40,8,745,1145
MSI,5,4,2,36,8,513,721
ASUS,4.253596615,2841,241,40,16,1124,1649
Infinix,4.1,77,17,40,8,489,672
HP,4.2,253,20,36,16,611,724
ASUS,4.253596615,2841,241,40,16,2345,2920
Lenovo,4.253596615,2841,241,36,16,2624,939
ASUS,4.253596615,2841,241,40,8,916,939
Lenovo,4.3,2841,241,101,8,647,939
HP,4.253596615,2841,241,41,16,1662,1820
Lenovo,4.253596615,2841,241,40,16,1038,1269
ASUS,4.253596615,2841,241,40,16,1979,2504
Lenovo,4.3,2841,241,40,8,684,1025
MSI,4.1,10,3,40,8,1832,2077
DELL,1.7,3,0,34,16,1405,1699
Lenovo,4.2,9,0,38,16,1712,939
Lenovo,4.2,974,75,36,8,415,744
ASUS,4.3,1654,226,40,4,330,525
HP,3.3,3,1,34,16,2004,2358
ASUS,4.2,50,4,34,8,818,1112
Lenovo,4.2,31,3,40,16,663,1034
DELL,4,35,2,40,8,806,1049
acer,3,2,1,40,16,1759,2199
acer,4.7,21,5,40,16,1839,939
Lenovo,4.2,265,21,40,8,672,939
HP,4.253596615,2841,241,34,16,1155,1356
HP,4.253596615,2841,241,36,8,776,971
HP,4.1,16,1,34,16,947,1210
Lenovo,4.3,115,6,40,8,482,726
Infinix,4.1,401,66,36,16,709,855
Lenovo,4.253596615,2841,241,40,16,1295,1946
Lenovo,4.253596615,2841,241,41,32,2199,3126
HP,4.2,253,20,36,16,611,724
ASUS,4.253596615,2841,241,40,16,1174,1735
MSI,4.6,5,2,40,8,1252,1515
ASUS,4.9,10,2,40,16,1845,2419
Lenovo,4.3,2841,241,101,8,647,939
HP,4.6,8,1,36,16,927,1041
ASUS,3.9,10,0,36,8,702,867
HP,3.7,3,0,41,16,1710,1923
Lenovo,4.3,2841,241,40,8,684,1025
HP,3.3,4,0,36,8,599,793
Lenovo,4.253596615,2841,241,40,8,706,1076
ASUS,4.4,159,15,40,8,733,1038
Lenovo,4.2,974,75,36,8,415,744
ASUS,4.5,50,6,40,16,1442,1991
acer,4.4,16,3,40,4,293,427
DELL,3.6,25,4,40,8,500,645
Lenovo,3,4,0,40,8,654,990
HP,4.253596615,2841,241,36,16,984,1130
ASUS,4.253596615,2841,241,40,16,886,1343
HP,3.8,22,4,36,16,849,1049
HP,4.2,253,20,36,16,611,724
ASUS,4,2100,311,40,4,256,366
acer,4.2,6,3,36,8,794,1075
HP,4.5,42,2,36,16,892,971
Lenovo,4.3,2841,241,40,8,684,1025
ASUS,5,4,0,34,32,2932,4288
Lenovo,4.2,66,8,36,4,440,657
acer,4.4,2954,366,40,8,660,1038
Lenovo,4.2,974,75,36,8,415,744
ASUS,4.5,50,6,40,16,1442,1991
Infinix,4.4,11,3,40,16,550,733
acer,4.2,510,93,40,4,291,427
Lenovo,4.2,31,3,40,16,663,1034
ASUS,4.2,108,9,40,8,660,965
HP,4.253596615,2841,241,40,8,671,938
DELL,4.2,15,0,97,16,1808,2142
Lenovo,4.2,265,21,40,8,672,939
ASUS,5,3,0,36,16,1741,2114
DELL,4.1,240,27,40,8,500,597
Infinix,4.2,5878,1022,36,8,464,611
Lenovo,4.253596615,2841,241,36,16,1196,939
acer,3.6,36,7,34,8,678,801
Lenovo,4.253596615,2841,241,36,16,2991,939
LG,4.253596615,2841,241,36,8,1099,1552
HP,4.2,253,20,36,16,611,724
Lenovo,4.253596615,2841,241,40,16,1038,1269
HP,4.4,292,23,36,16,831,969
ASUS,4.4,9,3,40,16,1771,2309
Lenovo,4.3,2841,241,40,8,684,1025
HP,4.2,2065,222,40,8,459,583
DELL,4.2,46,4,40,8,548,687
DELL,4.4,295,71,40,8,818,944
Lenovo,4.2,974,75,36,8,415,744
ASUS,4.253596615,2841,241,41,16,2101,2822
Infinix,4.3,3496,417,36,8,440,611
ASUS,4.253596615,2841,241,41,16,2138,2785
Lenovo,4.2,31,3,40,16,663,1034
ASUS,3.8,189,26,36,4,385,489
HP,4.3,3,0,36,8,553,939
ASUS,4.253596615,2841,241,36,8,501,623
Lenovo,4.3,252,29,40,8,745,1145
HP,4.1,262,19,40,8,507,584
acer,4,121,27,40,8,727,764
ASUS,4.253596615,2841,241,40,8,421,647
Lenovo,4.2,265,21,40,8,672,939
HP,4.3,15,1,40,8,482,629
acer,4.253596615,2841,241,36,4,438,464
acer,4.253596615,2841,241,36,16,1710,939
Lenovo,4.3,115,6,40,8,482,726
acer,4.2,27,3,36,4,324,403
ASUS,4.253596615,2841,241,36,8,1148,1208
Lenovo,4.3,402,49,40,8,696,939
HP,4.2,253,20,36,16,611,724
HP,4.1,41,2,40,8,721,1057
Lenovo,4,60,13,40,16,1442,1875
Infinix,4.3,362,57,36,8,476,672
Lenovo,4.3,2841,241,40,8,684,1025
DELL,3.7,3,2,34,16,1099,1374
DELL,4.3,7,0,40,8,519,676
ASUS,4.253596615,2841,241,40,16,1721,2187
Lenovo,4.2,974,75,36,8,415,744
HP,4.1,63,7,34,16,977,1212
acer,4,1,1,40,8,1466,1526
Lenovo,4.3,824,97,40,8,446,794
Lenovo,4.2,31,3,40,16,663,1034
ASUS,4.253596615,2841,241,41,16,2590,3115
DELL,4.253596615,2841,241,40,8,561,738
ASUS,4.4,392,119,40,8,776,916
Lenovo,4.3,252,29,40,8,745,1145
ASUS,4.253596615,2841,241,36,16,1887,2480
Infinix,3.7,122,27,36,16,611,855
Lenovo,3.8,78,17,40,8,580,641
HP,4.2,253,20,36,16,611,724
DELL,4.3,423,38,40,8,573,716
DELL,4.253596615,2841,241,40,8,561,738
MSI,4.6,12,1,36,16,843,1173
Lenovo,4.3,2841,241,40,8,684,1025
ASUS,4.7,18,0,40,16,1106,1588
RedmiBook,4.2,4561,524,40,8,550,684
Infinix,4.2,211,34,36,16,586,855
Lenovo,4.2,974,75,36,8,415,744
ASUS,4.253596615,2841,241,34,4,489,849
ASUS,4,17,5,36,16,1099,1503
acer,4.253596615,2841,241,40,8,708,904
Lenovo,4.2,31,3,40,16,663,1034
Lenovo,4.253596615,2841,241,36,8,1792,939
ASUS,4.253596615,2841,241,36,16,2138,2859
HP,4.2,586,60,40,8,502,586
Lenovo,4.3,252,29,40,8,745,1145
MSI,3.6,73,15,40,8,898,1099
Lenovo,4.253596615,2841,241,34,16,2132,939
Avita,4.1,2581,494,36,8,452,666
Lenovo,4.2,265,21,40,8,672,939
