Company,Rating,No_of_ratings,Review,Size,RAM,Price,MRP
ASUS,4.5,126,15,40,8,1014,1270
MSI,4.3,187,23,40,16,1038,1515
ASUS,4.253596615,2841,241,41,32,4789,5718
Lenovo,4.3,115,6,40,8,482,726
HP,4.253596615,2841,241,40,8,806,1059
DELL,5,4,0,40,8,693,901
ASUS,4.4,27,3,36,16,818,1014
HP,4.2,253,20,36,16,611,724
APPLE,4.253596615,2841,241,41,32,4275,939
HP,4.3,4,1,39,16,855,1099
MSI,4.7,17,1,40,16,1319,1649
Lenovo,4.3,2841,241,101,8,647,939
acer,4.5,481,73,40,16,1173,1833
DELL,4.253596615,2841,241,40,16,882,1211
HP,4.1,18,2,41,16,770,1076
Lenovo,4.3,2841,241,40,8,684,1025
ASUS,4.2,484,42,36,8,513,708
DELL,4.253596615,2841,241,44,32,3958,5313
APPLE,4.253596615,2841,241,41,16,3297,939
Lenovo,4.2,974,75,36,8,415,744
ASUS,4.253596615,2841,241,40,32,3445,4435
DELL,4.5,11,2,34,16,955,1220
APPLE,4.7,765,86,34,16,1588,1624
Lenovo,3,4,0,40,8,654,990
APPLE,4.3,13,5,41,32,4031,939
acer,4.3,59,7,40,8,672,939
MSI,4.4,2436,324,40,8,648,1026
HP,4.2,253,20,36,16,611,724
HP,4.253596615,2841,241,41,8,770,1100
APPLE,4.253596615,2841,241,41,16,3297,939
Infinix,4.4,11,3,40,16,550,733
Lenovo,4.3,2841,241,101,8,647,939
HP,4,3,0,41,8,733,1031
DELL,4.4,171,18,38,8,522,666
DELL,4.253596615,2841,241,44,32,4093,4569
Lenovo,4.3,2841,241,40,8,684,1025
APPLE,4.7,30,5,35,8,1465,939
SAMSUNG,4.3,9,2,40,8,916,1051
HP,4,103,14,40,16,880,1023
Lenovo,4.2,974,75,36,8,415,744
MSI,4.253596615,2841,241,43,32,4887,5473
ASUS,4.253596615,2841,241,44,16,2578,3335
HP,4.5,4,0,36,16,977,1216
Lenovo,4.2,31,3,40,16,663,1034
DELL,4.1,33,7,40,8,641,843
Mi,4.2,574,60,36,8,690,806
HP,4.253596615,2841,241,41,8,916,1129
Lenovo,4.2,265,21,40,8,672,939
DELL,3.3,3,0,40,8,523,743
SAMSUNG,4.9,7,0,40,16,892,928
HP,4.253596615,2841,241,34,16,855,981
